[23796] Output Path: data-after-TEST
[23796] Input Path (Physionet) Data: data-before/physionet-data/training-a
[23796] Input Path (Physionet) Labels: data-before/physionet-data/training-a/REFERENCE.csv
[23796] Input Path (Ephnogram) Data: data-before/ephnogram-data/WFDB
[23796] Input Path (Ephnogram) Labels: data-before/ephnogram-data/ECGPCGSpreadsheet.csv
[23796] ****************MMTF-ECGPCGNet*****************
[23796] ***          ECGPCG Data Cleaning           ***
[23796] ***********************************************
[23796] *** OPTIONS:                               ***
[23796]         RAM usage: 80.0%
[23796]         Number of Processes: 18   [Available: 18]
[23796]         GPU Enabled: True  GPU ID: 0
[23796]         Google Drive Enabled (unprocessed dataset storage): False
[23796]  UNUSED Tensorflow Enabled: False
[23796] ***********************************************
[23796] Attempting to set RAM usage to 80.0%
[23796] Warning: Linux memory_limit function failed - trying Windows
[23796] True
[23796] True
[23796] True
[23796] True
[23796] *** Cleaning Data [1/3] ***
[23796] ** Cleaning Physionet Data **
[23796] * Cleaning Physionet Data - Creating References [1/4] *
[23796] READMEREF:     filename  label
0      a0001      1
1      a0002      1
2      a0003      1
3      a0004      1
4      a0005      1
..       ...    ...
404    a0405     -1
405    a0406     -1
406    a0407     -1
407    a0408     -1
408    a0409     -1

[409 rows x 2 columns]
[23796] Unprocessed label CSV for PHYSIONET:   filename  label
0    a0001      1
1    a0002      1
2    a0003      1
3    a0004      1
4    a0005      1
[23796] * Cleaning Physionet Data - Creating CSV "data-after-TEST/physionet/data_physionet_raw.csv" - QRS, ECGs and PCGs [2/4] *
[27740] Processing Data Item: (['a0105', -1], 104)
[15356] Processing Data Item: (['a0194', 1], 193)
[28752] Processing Data Item: (['a0200', 1], 199)
[25952] Processing Data Item: (['a0182', 1], 181)
[13176] Processing Data Item: (['a0124', 1], 123)
[22240] Processing Data Item: (['a0171', -1], 170)
[10716] Processing Data Item: (['a0177', 1], 176)
[25952] Processing Data Item: (['a0183', 1], 182)
[7480] Processing Data Item: (['a0189', -1], 188)
[15356] Processing Data Item: (['a0195', -1], 194)
[24792] Processing Data Item: (['a0165', -1], 164)
[28752] Processing Data Item: (['a0201', 1], 200)
[27740] Processing Data Item: (['a0106', -1], 105)
[15356] Processing Data Item: (['a0196', -1], 195)
[27316] Processing Data Item: (['a0118', -1], 117)
[27316] Processing Data Item: (['a0119', 1], 118)
[14248] Processing Data Item: (['a0160', 1], 159)
[2464] Processing Data Item: (['a0130', 1], 129)
[19184] Processing Data Item: (['a0112', 1], 111)
[27892] Processing Data Item: (['a0154', -1], 153)
[29100] Processing Data Item: (['a0142', 1], 141)
[29400] Processing Data Item: (['a0148', 1], 147)
[2464] Processing Data Item: (['a0131', 1], 130)
[14248] Processing Data Item: (['a0161', -1], 160)
[19184] Processing Data Item: (['a0113', 1], 112)
[27316] Processing Data Item: (['a0120', 1], 119)
[29100] Processing Data Item: (['a0143', 1], 142)
[27892] Processing Data Item: (['a0155', -1], 154)
[22240] Processing Data Item: (['a0172', 1], 171)
[13176] Processing Data Item: (['a0125', -1], 124)
[29400] Processing Data Item: (['a0149', 1], 148)
[19184] Processing Data Item: (['a0114', 1], 113)
[13176] Processing Data Item: (['a0126', 1], 125)
[29100] Processing Data Item: (['a0144', 1], 143)
[10716] Processing Data Item: (['a0178', -1], 177)
[22240] Processing Data Item: (['a0173', 1], 172)
[29400] Processing Data Item: (['a0150', 1], 149)
[27316] Processing Data Item: (['a0205', 1], 204)
[24792] Processing Data Item: (['a0166', 1], 165)
[7480] Processing Data Item: (['a0190', 1], 189)
[27892] Processing Data Item: (['a0156', 1], 155)
[28752] Processing Data Item: (['a0202', 1], 201)
[14248] Processing Data Item: (['a0162', 1], 161)
[2464] Processing Data Item: (['a0132', 1], 131)
[27740] Processing Data Item: (['a0107', 1], 106)
[25952] Processing Data Item: (['a0184', -1], 183)
[17292] Processing Data Item: (['a0136', -1], 135)
[10716] Processing Data Item: (['a0179', -1], 178)
[13176] Processing Data Item: (['a0235', -1], 234)
[27316] Processing Data Item: (['a0206', 1], 205)
[19184] Processing Data Item: (['a0217', 1], 216)
[2464] Processing Data Item: (['a0241', -1], 240)
[29400] Processing Data Item: (['a0223', 1], 222)
[22240] Processing Data Item: (['a0174', 1], 173)
[27892] Processing Data Item: (['a0211', -1], 210)
[14248] Processing Data Item: (['a0229', -1], 228)
[15356] Processing Data Item: (['a0197', 1], 196)
[25952] Processing Data Item: (['a0185', -1], 184)
[28752] Processing Data Item: (['a0203', 1], 202)
[24792] Processing Data Item: (['a0167', 1], 166)
[7480] Processing Data Item: (['a0191', 1], 190)
[27740] Processing Data Item: (['a0108', -1], 107)
[27316] Processing Data Item: (['a0207', 1], 206)
[13176] Processing Data Item: (['a0236', 1], 235)
[29400] Processing Data Item: (['a0224', 1], 223)
[17292] Processing Data Item: (['a0137', 1], 136)
[22240] Processing Data Item: (['a0253', -1], 252)
[29100] Processing Data Item: (['a0247', 1], 246)
[27892] Processing Data Item: (['a0212', -1], 211)
[28752] Processing Data Item: (['a0204', -1], 203)
[19184] Processing Data Item: (['a0218', 1], 217)
[15356] Processing Data Item: (['a0198', 1], 197)
[2464] Processing Data Item: (['a0242', 1], 241)
[10716] Processing Data Item: (['a0180', 1], 179)
[24792] Processing Data Item: (['a0168', 1], 167)
[25952] Processing Data Item: (['a0186', 1], 185)
[27740] Processing Data Item: (['a0259', 1], 258)
[7480] Processing Data Item: (['a0192', 1], 191)
[14248] Processing Data Item: (['a0230', 1], 229)
[15356] Processing Data Item: (['a0295', 1], 294)
[19184] Processing Data Item: (['a0219', 1], 218)
[25952] Processing Data Item: (['a0265', 1], 264)
[10716] Processing Data Item: (['a0271', -1], 270)
[28752] Processing Data Item: (['a0283', -1], 282)
[13176] Processing Data Item: (['a0237', 1], 236)
[27316] Processing Data Item: (['a0208', -1], 207)
[27740] Processing Data Item: (['a0260', 1], 259)
[27892] Processing Data Item: (['a0213', 1], 212)
[2464] Processing Data Item: (['a0243', -1], 242)
[29100] Processing Data Item: (['a0248', 1], 247)
[29400] Processing Data Item: (['a0225', 1], 224)
[22240] Processing Data Item: (['a0254', 1], 253)
[7480] Processing Data Item: (['a0277', 1], 276)
[14248] Processing Data Item: (['a0231', -1], 230)
[24792] Processing Data Item: (['a0289', -1], 288)
[17292] Processing Data Item: (['a0138', 1], 137)
[29400] Processing Data Item: (['a0226', 1], 225)
[2464] Processing Data Item: (['a0244', 1], 243)
[22240] Processing Data Item: (['a0255', 1], 254)
[27892] Processing Data Item: (['a0214', 1], 213)
[25952] Processing Data Item: (['a0266', -1], 265)
[14248] Processing Data Item: (['a0232', 1], 231)
[7480] Processing Data Item: (['a0278', 1], 277)
[10716] Processing Data Item: (['a0272', 1], 271)
[24792] Processing Data Item: (['a0290', -1], 289)
[29100] Processing Data Item: (['a0249', 1], 248)
[15356] Processing Data Item: (['a0296', 1], 295)
[27740] Processing Data Item: (['a0261', 1], 260)
[19184] Processing Data Item: (['a0220', 1], 219)
[27316] Processing Data Item: (['a0209', 1], 208)
[13176] Processing Data Item: (['a0238', -1], 237)
[28752] Processing Data Item: (['a0284', 1], 283)
[17292] Processing Data Item: (['a0301', -1], 300)
[19184] Processing Data Item: (['a0221', 1], 220)
[2464] Processing Data Item: (['a0245', 1], 244)
[7480] Processing Data Item: (['a0279', 1], 278)
[25952] Processing Data Item: (['a0267', 1], 266)
[22240] Processing Data Item: (['a0256', 1], 255)
[29400] Processing Data Item: (['a0227', -1], 226)
[13176] Processing Data Item: (['a0239', 1], 238)
[27892] Processing Data Item: (['a0215', 1], 214)
[27316] Processing Data Item: (['a0210', -1], 209)
[10716] Processing Data Item: (['a0273', 1], 272)
[28752] Processing Data Item: (['a0285', -1], 284)
[14248] Processing Data Item: (['a0233', 1], 232)
[27740] Processing Data Item: (['a0262', 1], 261)
[15356] Processing Data Item: (['a0297', 1], 296)
[24792] Processing Data Item: (['a0291', 1], 290)
[29100] Processing Data Item: (['a0250', -1], 249)
[10716] Processing Data Item: (['a0274', -1], 273)
[17292] Processing Data Item: (['a0302', -1], 301)
[19184] Processing Data Item: (['a0222', 1], 221)
[29400] Processing Data Item: (['a0228', 1], 227)
[25952] Processing Data Item: (['a0268', 1], 267)
[27892] Processing Data Item: (['a0216', 1], 215)
[13176] Processing Data Item: (['a0240', 1], 239)
[7480] Processing Data Item: (['a0280', 1], 279)
[22240] Processing Data Item: (['a0257', 1], 256)
[2464] Processing Data Item: (['a0246', 1], 245)
[14248] Processing Data Item: (['a0234', 1], 233)
[28752] Processing Data Item: (['a0286', 1], 285)
[27316] Processing Data Item: (['a0307', 1], 306)
[27740] Processing Data Item: (['a0263', 1], 262)
[15356] Processing Data Item: (['a0298', -1], 297)
[24792] Processing Data Item: (['a0292', 1], 291)
[13176] Processing Data Item: (['a0325', -1], 324)
[27892] Processing Data Item: (['a0337', -1], 336)
[27316] Processing Data Item: (['a0308', 1], 307)
[14248] Processing Data Item: (['a0343', 1], 342)
[25952] Processing Data Item: (['a0269', 1], 268)
[19184] Processing Data Item: (['a0319', 1], 318)
[29400] Processing Data Item: (['a0313', 1], 312)
[10716] Processing Data Item: (['a0275', 1], 274)
[7480] Processing Data Item: (['a0281', 1], 280)
[2464] Processing Data Item: (['a0331', 1], 330)
[28752] Processing Data Item: (['a0287', -1], 286)
[22240] Processing Data Item: (['a0258', 1], 257)
[29100] Processing Data Item: (['a0251', 1], 250)
[17292] Processing Data Item: (['a0303', 1], 302)
[24792] Processing Data Item: (['a0293', -1], 292)
[27740] Processing Data Item: (['a0264', -1], 263)
[15356] Processing Data Item: (['a0299', -1], 298)
[19184] Processing Data Item: (['a0320', 1], 319)
[2464] Processing Data Item: (['a0332', -1], 331)
[13176] Processing Data Item: (['a0326', 1], 325)
[29400] Processing Data Item: (['a0314', 1], 313)
[7480] Processing Data Item: (['a0282', 1], 281)
[27892] Processing Data Item: (['a0338', 1], 337)
[24792] Processing Data Item: (['a0294', -1], 293)
[25952] Processing Data Item: (['a0270', -1], 269)
[14248] Processing Data Item: (['a0344', 1], 343)
[28752] Processing Data Item: (['a0288', 1], 287)
[10716] Processing Data Item: (['a0276', 1], 275)
[22240] Processing Data Item: (['a0349', 1], 348)
[27740] Processing Data Item: (['a0355', -1], 354)
[29100] Processing Data Item: (['a0252', 1], 251)
[15356] Processing Data Item: (['a0300', 1], 299)
[13176] Processing Data Item: (['a0327', 1], 326)
[22240] Processing Data Item: (['a0350', 1], 349)
[17292] Processing Data Item: (['a0304', -1], 303)
[27740] Processing Data Item: (['a0356', 1], 355)
[10716] Processing Data Item: (['a0361', -1], 360)
[28752] Processing Data Item: (['a0373', 1], 372)
[29100] Processing Data Item: (['a0379', 1], 378)
[24792] Processing Data Item: (['a0385', -1], 384)
[15356] Processing Data Item: (['a0397', 1], 396)
[7480] Processing Data Item: (['a0391', 1], 390)
[25952] Processing Data Item: (['a0367', 1], 366)
[7480] Processing Data Item: (['a0392', 1], 391)
[25952] Processing Data Item: (['a0368', 1], 367)
[27740] Processing Data Item: (['a0357', 1], 356)
[10716] Processing Data Item: (['a0362', 1], 361)
[28752] Processing Data Item: (['a0374', 1], 373)
[24792] Processing Data Item: (['a0386', -1], 385)
[17292] Processing Data Item: (['a0305', 1], 304)
[15356] Processing Data Item: (['a0398', 1], 397)
[29100] Processing Data Item: (['a0380', 1], 379)
[19184] Processing Data Item: (['a0321', 1], 320)
[27892] Processing Data Item: (['a0339', 1], 338)
[2464] Processing Data Item: (['a0333', 1], 332)
[29400] Processing Data Item: (['a0315', 1], 314)
[15356] Processing Data Item: (['a0399', 1], 398)
[17292] Processing Data Item: (['a0306', 1], 305)
[14248] Processing Data Item: (['a0345', 1], 344)
[19184] Processing Data Item: (['a0322', 1], 321)
[27316] Processing Data Item: (['a0309', -1], 308)
[29400] Processing Data Item: (['a0316', 1], 315)
[27892] Processing Data Item: (['a0340', -1], 339)
[2464] Processing Data Item: (['a0334', -1], 333)
[14248] Processing Data Item: (['a0346', 1], 345)
[17292] Processing Data Item: (['a0403', 1], 402)
[19184] Processing Data Item: (['a0323', -1], 322)
[13176] Processing Data Item: (['a0328', -1], 327)
[2464] Processing Data Item: (['a0335', 1], 334)
[29400] Processing Data Item: (['a0317', 1], 316)
[27892] Processing Data Item: (['a0341', 1], 340)
[27316] Processing Data Item: (['a0310', -1], 309)
[14248] Processing Data Item: (['a0347', 1], 346)
[17292] Processing Data Item: (['a0404', 1], 403)
[19184] Processing Data Item: (['a0324', 1], 323)
[27316] Processing Data Item: (['a0311', -1], 310)
[7480] Processing Data Item: (['a0393', -1], 392)
[25952] Processing Data Item: (['a0369', 1], 368)
[13176] Processing Data Item: (['a0329', -1], 328)
[27892] Processing Data Item: (['a0342', -1], 341)
[22240] Processing Data Item: (['a0351', -1], 350)
[29400] Processing Data Item: (['a0318', 1], 317)
[14248] Processing Data Item: (['a0348', 1], 347)
[2464] Processing Data Item: (['a0336', 1], 335)
[25952] Processing Data Item: (['a0370', 1], 369)
[22240] Processing Data Item: (['a0352', -1], 351)
[13176] Processing Data Item: (['a0330', -1], 329)
[27316] Processing Data Item: (['a0312', 1], 311)
[7480] Processing Data Item: (['a0394', 1], 393)
[27740] Processing Data Item: (['a0358', 1], 357)
